title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
Indian Coffee House,4.2,5847,Civil Lines,Raipur,Chhattisgarh,492001,IN,indiancoffeehousejabalpur.com,,"[""South Indian restaurant""]",South Indian restaurant,"6JWR+FJ Raipur, Chhattisgarh",https://www.google.com/maps/place/Indian+Coffee+House/data=!4m7!3m6!1s0x3a28dd0a378f8209:0xa802571acb0d7797!8m2!3d21.2461824!4d81.6415626!16s%2Fg%2F12648m2qm!19sChIJCYKPNwrdKDoRl3cNyxpXAqg?authuser=0&hl=en&rclk=1,"Civil Lines, Raipur, Chhattisgarh 492001",0x3a28dd0a378f8209:0xa802571acb0d7797,Cafe
More Over Coffee (MOC),4.1,1167,"48/726, Kali Mata Mandir Road, Akashwani Chowk, Civil Lines",Raipur,Chhattisgarh,492001,IN,,077372 83668,"[""Cafe""]",Cafe,"6JQW+3X Raipur, Chhattisgarh",https://www.google.com/maps/place/More+Over+Coffee+%28MOC%29/data=!4m7!3m6!1s0x3a28dd63b9bcb1df:0xc5820c446fc8b52d!8m2!3d21.2377174!4d81.6474543!16s%2Fg%2F11rc2nkwkt!19sChIJ37G8uWPdKDoRLbXIb0QMgsU?authuser=0&hl=en&rclk=1,"48/726, Kali Mata Mandir Road, Akashwani Chowk, Civil Lines, Raipur, Chhattisgarh 492001",0x3a28dd63b9bcb1df:0xc5820c446fc8b52d,Cafe
Indian Coffee House,4.1,1737,"7J3X+JP4, Pandri Rd, Devendra Nagar",Raipur,Chhattisgarh,492004,IN,,076975 72904,"[""Coffee shop""]",Coffee shop,,https://www.google.com/maps/place/Indian+Coffee+House/data=!4m7!3m6!1s0x3a28ddcdcfaa11bb:0x37a5592594a98862!8m2!3d21.2540039!4d81.649334!16s%2Fg%2F11g2r1vc0q!19sChIJuxGqz83dKDoRYoiplCVZpTc?authuser=0&hl=en&rclk=1,"7J3X+JP4, Pandri Rd, Devendra Nagar, Raipur, Chhattisgarh 492004",0x3a28ddcdcfaa11bb:0x37a5592594a98862,Cafe
"Nothing Before Coffee - Katora Talab, Raipur",4.7,1450,"Street Number 4, opposite Katora Talab, beside Rawlani Nursing, Katora Talab, Civil Lines",Raipur,Chhattisgarh,492001,IN,stores.nothingbeforecoffee.com,081097 87997,"[""Coffee shop""]",Coffee shop,"6MM4+J2 Raipur, Chhattisgarh","https://www.google.com/maps/place/Nothing+Before+Coffee+-+Katora+Talab,+Raipur/data=!4m7!3m6!1s0x3a28dd0f57992139:0x9f6d481256ff5621!8m2!3d21.2340044!4d81.6550702!16s%2Fg%2F11txnxgt0l!19sChIJOSGZVw_dKDoRIVb_VhJIbZ8?authuser=0&hl=en&rclk=1","Street Number 4, opposite Katora Talab, beside Rawlani Nursing, Katora Talab, Civil Lines, Raipur, Chhattisgarh 492001",0x3a28dd0f57992139:0x9f6d481256ff5621,Cafe
Indian Coffee House,4.5,109,"New Circuit House, Civil Lines",Raipur,Chhattisgarh,492001,IN,,,"[""Coffee shop""]",Coffee shop,"6JQX+RV Raipur, Chhattisgarh",https://www.google.com/maps/place/Indian+Coffee+House/data=!4m7!3m6!1s0x3a28dd0050f74699:0x312fafcde993e7e!8m2!3d21.2396211!4d81.6496515!16s%2Fg%2F11xg5s9fmx!19sChIJmUb3UADdKDoRfj6Z3vz6EgM?authuser=0&hl=en&rclk=1,"New Circuit House, Civil Lines, Raipur, Chhattisgarh 492001",0x3a28dd0050f74699:0x312fafcde993e7e,Cafe
"Gadh Kalewa, Raipur",4.3,8275,"Gaurav Path, Civil Lines",Raipur,Chhattisgarh,492001,IN,gadhkalewa.in,097137 40888,"[""Indian restaurant""]",Indian restaurant,"6JVV+QX Raipur, Chhattisgarh","https://www.google.com/maps/place/Gadh+Kalewa,+Raipur/data=!4m7!3m6!1s0x3a28dd9f81fc174d:0xc2adc8b14e2a6e6!8m2!3d21.2444234!4d81.644926!16s%2Fg%2F11ckkydg7q!19sChIJTRf8gZ_dKDoR5qbiFIvcKgw?authuser=0&hl=en&rclk=1","Gaurav Path, Civil Lines, Raipur, Chhattisgarh 492001",0x3a28dd9f81fc174d:0xc2adc8b14e2a6e6,Cafe
